,metro,price,minutes,way,provider,fee_percent,views,storey,storeys,rooms,total_area,living_area,kitchen_area
762, Buninskaia Alleia ,35000,19,transport,developer,30,14,1,17,1,64,64,64
763, Vodnyi stadion ,50000,12,transport,developer,50,66,4,5,2,45,25,7
764, Fili ,145000,16,walk,developer,50,41,12,16,3,64,64,64
765, Ulitca Skobelevskaia ,53000,11,walk,developer,50,31,13,17,1,40,20,10
766, Novoperedelkino ,45000,19,walk,developer,50,16,3,25,1,45,21,11
767, Leninskii prospekt ,100000,6,walk,developer,50,5,16,22,2,64,64,64
768, Babushkinskaia ,50000,15,walk,developer,50,16,8,17,1,38,20,9
769,No data,110000,0,walk,owner,0,18,4,7,3,64,64,64
770, Botanicheskii sad ,65000,2,walk,agency,0,7,4,25,1,64,64,64
771, Kurskaia ,149000,11,walk,owner,0,41,3,9,3,64,64,64
772,No data,45000,0,walk,developer,60,26,27,39,1,64,64,64
773, Nekrasovka ,40000,18,walk,developer,50,10,7,17,1,40,20,10
774, Chertanovskaia ,35000,6,walk,developer,50,15,1,17,1,64,64,64
775,No data,70000,0,walk,developer,50,53,5,28,1,36,19,8
776, Mitino ,47000,17,walk,developer,50,12,3,14,1,45,21,10
777, Shabolovskaia ,70000,11,walk,developer,50,19,7,7,1,50,22,10
778, Belorusskaia ,43999,12,walk,developer,0,312,2,8,1,64,64,64
779, Frunzenskaia ,106500,12,walk,agency,0,33,2,9,2,64,64,64
780,No data,48000,0,walk,owner,0,8,9,20,1,64,64,64
781, Kolomenskaia ,60000,19,walk,developer,50,9,12,21,2,43,32,8
782, Akademicheskaia ,50000,21,walk,developer,50,4,6,17,2,56,35,11
783, Okskaia ,50000,10,walk,developer,100,38,7,9,1,5,20,6
784, Perovo ,45000,13,walk,developer,50,24,6,12,1,40,20,9
785, Rasskazovka ,40000,10,walk,developer,50,29,2,17,1,38,20,10
786, Lomonosovskii prospekt ,60000,18,transport,owner,0,9,2,12,1,7,20,9
787, Mezhdunarodnaia ,270000,2,walk,developer,0,149,20,85,2,64,64,64
